Date,Event Type,Asset,Message,SMP,Price Spike (>$200),Max SMP After Event,Max SMP Growth from Event,Max SMP Date,Max SMP Minutes from Event,Min SMP After Event,Min SMP Reduction from Event,Min SMP Date,Min SMP Minutes from Event,Avg SMP before Event,Avg SMP After Event,Total AB Demand (MW),AB Total Intertie Trade (MW),AB - BC Intertie (MW),AB - MT Intertie (MW),AB - SK Intertie (MW)
2017-01-20 13:49:00,offline,Sundance 1,Sundance 1 Off Line,36.2,NO,36.2,0.0,2017-01-20 13:49:00,0.0,27.77,23.28729281767956,2017-01-20 16:45:00,176.0,34.80461111111111,35.21738888888895,10074.0,129.0,-45.0,175.0,0.0
2017-01-20 14:00:00,online,Sundance 6,Sundance 6 On Line,36.2,NO,36.2,0.0,2017-01-20 14:00:00,0.0,27.77,23.28729281767956,2017-01-20 16:45:00,165.0,34.88222222222219,34.91372222222227,9992.0,158.0,-31.0,183.0,0.0
2017-01-22 21:57:00,online,Sundance 1,Sundance #1 online.,27.77,NO,27.77,0.0,2017-01-22 21:57:00,0.0,18.51,33.34533669427439,2017-01-22 23:24:00,87.0,29.314666666666763,19.579277777777882,10250.0,85.0,-14.0,99.0,0.0
2017-01-22 22:29:00,offline,Sundance 1,Sundance #1 offline.,20.42,NO,20.42,0.0,2017-01-22 22:29:00,0.0,18.39,9.941234084231155,2017-01-23 01:00:00,151.0,26.97722222222221,19.07427777777781,9858.0,7.0,-21.0,28.0,0.0
2017-01-23 00:42:00,online,Sundance 1,Sundance #1 online.,18.51,NO,18.51,0.0,2017-01-23 00:42:00,0.0,18.39,0.6482982171799101,2017-01-23 01:00:00,18.0,20.350944444444565,18.40199999999998,9312.0,-6.0,-19.0,14.0,0.0
2017-01-23 04:21:00,offline,HR Milner,HR Milner offline.,18.39,NO,34.63,88.30886351277869,2017-01-23 07:06:00,165.0,18.39,0.0,2017-01-23 04:21:00,0.0,18.38999999999998,21.775277777777795,9279.0,9.0,0.0,8.0,0.0
2017-01-23 13:32:00,online,HR Milner,HR Milner online.,35.53,NO,35.53,0.0,2017-01-23 13:32:00,0.0,27.77,21.840698001688718,2017-01-23 15:00:00,88.0,35.275777777777755,32.6808333333334,10825.0,-23.0,-9.0,-13.0,0.0
2017-01-24 01:08:00,offline,HR Milner,HR Milner Off Line,18.51,NO,18.58,0.3781739600215994,2017-01-24 03:21:00,133.0,18.39,0.6482982171799101,2017-01-24 01:38:00,30.0,19.295499999999986,18.44972222222228,9374.0,64.0,-17.0,81.0,0.0
2017-01-24 20:04:00,offline,Battle 5,Battle River 5 Off line,33.64,NO,35.68,6.064209274673016,2017-01-24 20:06:00,2.0,20.42,39.29845422116528,2017-01-24 22:20:00,136.0,37.47333333333342,29.555166666666658,10437.0,171.0,61.0,108.0,0.0
2017-01-24 21:25:00,offline,Sundance 1,Sundance #1 Off Line,35.68,NO,35.68,0.0,2017-01-24 21:25:00,0.0,18.81,47.281390134529154,2017-01-24 23:40:00,135.0,35.46844444444451,22.348555555555574,10211.0,119.0,-8.0,126.0,0.0
