Date,Event Type,Asset,Message,SMP Spike After Event (>$200),Pool Price Spike After Event (>$200),Event SMP ($/MW),Event Pool Price ($/MW),Max Pool Price After Event,Max SMP After Event,Max SMP Growth from Event,Max SMP Date,Max SMP Minutes from Event,Min SMP After Event,Min SMP Reduction from Event,Min SMP Date,Min SMP Minutes from Event,Avg SMP before Event,Avg SMP After Event,Total AB Demand (MW),AB Total Intertie Trade (MW),AB - BC Intertie (MW),AB - MT Intertie (MW),AB - SK Intertie (MW)
2019-08-08 14:16:00,offline,Keephills 3,Keephills 3 offline,YES,NO,78.44,507.4,801.68,859.0,995.104538500765,2019-08-08 15:00:00,44.0,67.13,14.418663946965838,2019-08-08 17:00:00,164.0,322.9055,453.8473333333327,10626.0,-486.0,-305.0,-181.0,0.0
2019-08-08 15:19:00,online,Sundance 4,Sundance 4 online,YES,NO,850.0,801.68,801.68,850.0,0.0,2019-08-08 15:19:00,0.0,39.93,95.30235294117647,2019-08-08 18:15:00,176.0,535.3170555555552,232.9420555555544,10599.0,-467.0,-327.0,-139.0,0.0
2019-08-09 13:58:00,maintenance,AESO,The AESO is doing planned system maintenance today at 14:10 MDT for approximately 10 minutes. ADaMS will be unavailable for the duration of the outage and System Controllers will dispatch via phone.,NO,NO,33.8,39.61,41.66,33.84,0.11834319526629056,2019-08-09 14:00:00,2.0,33.79,0.029585798816567088,2019-08-09 15:25:00,87.0,38.37544444444448,33.808166666666665,10343.0,-172.0,-38.0,-134.0,0.0
2019-08-09 22:29:00,offline,Battle 4,Battle River #4 offline.,NO,NO,33.79,33.79,33.79,33.79,0.0,2019-08-09 22:29:00,0.0,32.73,3.1370227878070533,2019-08-09 23:08:00,39.0,32.92083333333327,32.98683333333328,9499.0,-51.0,17.0,-67.0,0.0
2019-08-10 18:06:00,offline,Sheerness 1,Sheerness #1 offline.,NO,NO,74.25,59.47,59.47,74.25,0.0,2019-08-10 18:06:00,0.0,33.84,54.42424242424242,2019-08-10 20:00:00,114.0,35.174277777777895,41.44705555555558,9513.0,23.0,28.0,-5.0,0.0
2019-08-11 12:02:00,offline,MacKay 1,MacKay 1  (MKRC) offline.,NO,NO,39.77,40.73,68.36,42.39,6.587880311792804,2019-08-11 12:09:00,7.0,32.59,18.05380940407342,2019-08-11 13:45:00,103.0,49.49872222222221,35.74477777777776,9464.0,-397.0,-155.0,-243.0,0.0
2019-08-11 19:20:00,online,Battle 4,Battle River #4 online,NO,NO,32.96,33.04,41.96,51.14,55.157766990291265,2019-08-11 22:00:00,160.0,32.96,0.0,2019-08-11 19:20:00,0.0,37.80033333333336,35.579111111111104,9442.0,-163.0,-76.0,-87.0,0.0
2019-08-12 14:20:00,online,Keephills 3,Keephills 3 online.,YES,YES,110.0,273.43,782.48,949.24,762.9454545454546,2019-08-12 14:48:00,28.0,74.87,31.93636363636363,2019-08-12 15:09:00,49.0,102.60066666666663,468.54122222222253,10088.0,-835.0,-609.0,-225.0,0.0
2019-08-12 14:41:00,offline,Genesee 1,Genesee 1 offline.,YES,YES,110.0,273.43,782.48,949.24,762.9454545454546,2019-08-12 14:48:00,7.0,74.87,31.93636363636363,2019-08-12 15:09:00,28.0,101.9305555555556,489.55605555555593,10088.0,-835.0,-609.0,-225.0,0.0
2019-08-13 09:40:00,maintenance,AESO,The AESO is doing planned system maintenance today at 10:10 MDT for approximately 10 minutes. ADaMS will be unavailable for the duration of the outage and System Controllers will dispatch via phone.,NO,NO,65.0,66.28,95.58,99.33,52.815384615384616,2019-08-13 11:32:00,112.0,65.0,0.0,2019-08-13 09:40:00,0.0,57.55744444444437,90.29822222222224,9779.0,-623.0,-438.0,-185.0,0.0
2019-08-14 03:40:00,offline,Battle 3,Battle River #3 offline.,NO,NO,33.57,33.57,33.95,33.97,1.191540065534702,2019-08-14 05:38:00,118.0,33.49,0.23830801310693595,2019-08-14 04:00:00,20.0,33.61205555555556,33.75700000000002,8487.0,-168.0,-22.0,-146.0,0.0
2019-08-15 09:39:00,maintenance,AESO,The AESO is doing maintenance today at 10:10 for approx 20 min. ADaMS unavailable for the duration. System Controllers will dispatch via phone. ETS access may be lost for 2-3 min. ETS submissions  restatements  updates to reports and DVN may be impacted.,NO,NO,33.57,33.57,83.04,90.05,168.24545725350015,2019-08-15 10:00:00,21.0,33.57,0.0,2019-08-15 09:39:00,0.0,31.535666666666593,62.17844444444426,9798.0,-274.0,-114.0,-162.0,0.0
2019-08-15 14:20:00,online,Path 2,Path 2 in service,NO,NO,105.22,96.76,164.95,200.0,90.07793195210037,2019-08-15 16:00:00,100.0,34.44,67.26858011784832,2019-08-15 17:17:00,177.0,87.94755555555541,111.75044444444437,10396.0,-775.0,-563.0,-194.0,-18.0
2019-08-15 23:13:00,offline,Sundance 4,Sundance Unit 4 offline,NO,NO,33.52,33.52,34.45,33.52,0.0,2019-08-15 23:13:00,0.0,29.35,12.440334128878284,2019-08-16 01:55:00,162.0,33.7961666666666,33.08911111111116,9255.0,-218.0,-25.0,-185.0,-8.0
2019-08-16 01:00:00,online,Genesee 1,Genesee 1 on line.,NO,NO,33.51,33.16,33.52,33.51,0.0,2019-08-16 01:00:00,0.0,29.35,12.414204715010435,2019-08-16 01:55:00,55.0,33.27099999999995,32.64000000000005,8799.0,-126.0,-16.0,-110.0,0.0
